Site.x	Tag	Unique.Random.ID	File	Total.Reads	Aligned.Reads	Unaligned.Reads	Ambiguously.Aligned.Reads	No.Genomic.Sequence	Duplicate.Reads..removed.	Unique.Reads..remaining.	Total.Cs	Methylated.CpGs	Unmethylated.CpGs	Methylated.chgs	Unmethylated.chgs	Methylated.CHHs	Unmethylated.CHHs	Species.x	Site.x.x	Community.x	Plot.x	C.W.G.x	Plant.ID.x	Leaf.collection.DOY.x	Phenology.x	Collector.x	mix	Species.y	Site.y	Plot.y	C.T.x	Plant.ID.y	Date	FLWR.PHENO.Flwr.Bud	FLWR.PHENO.Flwr.Mat	FLWR.PHENO.Flwr.Sen.	FLWR.PHENO.Cap.twist	FLWR.PHENO.Seed.Disp	FLWR.PHE.Aborted	Eaten	Height	PHENO	Flwr_total	Community.y	C.W.G.y	Plot.x.x	Plant.ID.x.x	Phenology.2018	X..Cap.Twist.2019	Collect.	Tag.nearby	X2019.Collection.Count	Collection.2019	Weight.x	Photo.time	Photo.DOY	DOY.Lv.collected	Lf.hairs	Aphids	Crystals.on.lv	DOY.Seed...Lv.Collected.2019	Plate.x	Location.x	Comments.x	Petri.Dish.ID.	C.T.y	Plant.ID.y.y	Species.x.x	Site.y.y	Plot.y.y	X..seeds..50.seeds.	X..seeds.Petri.dish.in.lab	ungerminated.seed.count.GD33	total.germinated.seeds	Seeds.Collection.DOY	Phenology.y	X..seeds..all.seeds.	weight.all.seeds..g.mg.	X..extra.seed	weight.extra.seeds..g.mg.	weight.50.seeds..mg.	Extra.seeds..Y.N.	Processor	Comments.y	Unique.non.random.ID	X..Dryas.flwrs	Dryas.seed.Ripeness	Notes	Chamber	C.W	Site.x.x.x	Species.y.y	Community.x.x	Plot.x.x.x	Plant.ID.x.x.x	Unique.Random.ID.x	Number.of.Seeds	Seed.weight.mg	Seed.Agar.group	Jan22.Low	Jan25.Low	Jan28.Low	Jan31.Low	Feb1st	Percent_germ	Plate.y	Location.y	Numb.Lv	Weight.y	DNA.extraction.comments	Hair.on.leaves	Petioles	Observer	Unique.Random.ID.1	Species	Site.y.y.y	Community.y.y	Plot.y.y.y	C.W.G	Plant.ID.y.y.y	Leaf.collection.DOY.y	Phenology	Collector.y	Latitude	Longitude	Comments
CASS5C	529	159	C1.A10.C1d12_CASS5C_529_159_R1_val_1_bismark_bt2_pe.bam	56319691	39637429	7740647	8941376	239	5908150	33729279	1160567403	39214203	83449584	22692781	138330837	21666789	855213209	D. integrifolia	Alexandra Fiord	CASS	5	C	529	224	Longterm	Cassandra	CASS_5_C_529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	5	529	Longterm	1	N		NA		0.03	10:35	208	208	3	NA	NA	NA	1 and 2	d12		Dr159	C	529	Dryas	CASS	5	50	49	49	0	224	Y	50	3.81	0	0	3.81	N	Zoe		16	2	2		LOW	C	Alexandra Fiord	D. integrifolia	CASS	5	529	159	NA	NA		0	0	0	0	0	NA	1 and 2	d12	6	16.1-4.2		1	S	Cassandra	159	D. integrifolia	Alexandra Fiord	CASS	5	C	529	224	Longterm	Cassandra			
CASS5C	529	159	C1.A10.C1d12_CASS5C_529_159_R1_val_1_bismark_bt2_pe.bam	56319691	39637429	7740647	8941376	239	5908150	33729279	1160567403	39214203	83449584	22692781	138330837	21666789	855213209	D. integrifolia	Alexandra Fiord	CASS	5	C	529	224	Longterm	Cassandra	CASS_5_C_529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	5	529	Longterm	1	N		NA		0.03	10:35	208	208	3	NA	NA	NA	1 and 2	d12		Dr159	C	529	Dryas	CASS	5	50	49	49	0	224	Y	50	3.81	0	0	3.81	N	Zoe		16	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	CASS	5	529	159	NA	NA		0	0	0	0	0	NA	1 and 2	d12	6	16.1-4.2		1	S	Cassandra	159	D. integrifolia	Alexandra Fiord	CASS	5	C	529	224	Longterm	Cassandra			
CASS4C	524	4	C1.B05.C1d1_CASS4C_524_4_R1_val_1_bismark_bt2_pe.bam	52206820	36317190	7562944	8326507	179	5283929	31033261	1056855231	36386643	73737497	20400005	126222907	19059715	781048464	D. integrifolia	Alexandra Fiord	CASS	4	C	524	224	Longterm	Cassandra	CASS_4_C_524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	4	524	Longterm	10	Y	523	1	Y	0.02	10:07	208	208	2	NA	NA	NA	1 and 2	d1		Dr004	C	524	Dryas	CASS	4	50	49	47	0	224	Y	81	4.57	31	1.61	2.96	Y	Cassandra		11	1	4		LOW	C	Alexandra Fiord	D. integrifolia	CASS	4	524	4	23	0.005	C1	0	3	7	9	11	0.47826087	1 and 2	d1	3	10		1	S		4	D. integrifolia	Alexandra Fiord	CASS	4	C	524	224	Longterm	Cassandra			
CASS4C	524	4	C1.B05.C1d1_CASS4C_524_4_R1_val_1_bismark_bt2_pe.bam	52206820	36317190	7562944	8326507	179	5283929	31033261	1056855231	36386643	73737497	20400005	126222907	19059715	781048464	D. integrifolia	Alexandra Fiord	CASS	4	C	524	224	Longterm	Cassandra	CASS_4_C_524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	4	524	Longterm	10	Y	523	1	Y	0.02	10:07	208	208	2	NA	NA	NA	1 and 2	d1		Dr004	C	524	Dryas	CASS	4	50	49	47	0	224	Y	81	4.57	31	1.61	2.96	Y	Cassandra		11	1	4		HIGH	C	Alexandra Fiord	D. integrifolia	CASS	4	524	4	23	0.005	C1	0	0	5	7	6	0.260869565	1 and 2	d1	3	10		1	S		4	D. integrifolia	Alexandra Fiord	CASS	4	C	524	224	Longterm	Cassandra			
FERT39C	20F	71	C1.B07.C1b6_FERT39C_20F_71_R1_val_1_bismark_bt2_pe.bam	52311827	36361328	6948726	9001530	243	5597777	30763551	1033324283	34155366	75593517	17833968	125612117	17761025	762368290	D. integrifolia	Alexandra Fiord	FERT	39	C	20F	224	Y	Cassandra	FERT_39_C_20F	Dryas	FERT	39	C	20F	219	NA	NA	2	4	NA	NA	NA	61	Cap	6	FERT	C	39	20F	Y	3	Y		4		0.04	12:27	209	208	2	NA	NA	NA	1 and 2	b6		Dr071	C	20F	Dryas	FERT	39	50	51	50	0	224	Y	50	20.23	NA	13.81	6.42	Y	Hailey		121	2	2		LOW	C	Alexandra Fiord	D. integrifolia	FERT	39	20F	71	NA	NA		0	0	0	0	0	NA	1 and 2	b6	3	15.8-2.4		1	S	Cassandra	71	D. integrifolia	Alexandra Fiord	FERT	39	C	20F	224	Y	Cassandra			
FERT39C	20F	71	C1.B07.C1b6_FERT39C_20F_71_R1_val_1_bismark_bt2_pe.bam	52311827	36361328	6948726	9001530	243	5597777	30763551	1033324283	34155366	75593517	17833968	125612117	17761025	762368290	D. integrifolia	Alexandra Fiord	FERT	39	C	20F	224	Y	Cassandra	FERT_39_C_20F	Dryas	FERT	39	C	20F	219	NA	NA	2	4	NA	NA	NA	61	Cap	6	FERT	C	39	20F	Y	3	Y		4		0.04	12:27	209	208	2	NA	NA	NA	1 and 2	b6		Dr071	C	20F	Dryas	FERT	39	50	51	50	0	224	Y	50	20.23	NA	13.81	6.42	Y	Hailey		121	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	FERT	39	20F	71	NA	NA		0	0	0	0	0	NA	1 and 2	b6	3	15.8-2.4		1	S	Cassandra	71	D. integrifolia	Alexandra Fiord	FERT	39	C	20F	224	Y	Cassandra			
DRY10C	60	41	C1.C06.C1d4_DRY10C_60_41_R1_val_1_bismark_bt2_pe.bam	58625571	40218298	9020848	9386193	232	6241238	33977060	1161447804	39775433	82248624	22659586	138663361	21467425	856633375	D. integrifolia	Alexandra Fiord	DRY	10	C	60	224	Y	Cassandra	DRY_10_C_60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	10	60	Longterm	0	N	1	NA		0.02	11:52	209	208	0	NA	NA	NA	1 and 2	d4		Dr041	C	60	Dryas	DRY	10	50	50	49	1	224	Y	61	5.52	11	1.04	4.48	Y	Andrew		106	1	2		LOW	C	Alexandra Fiord	D. integrifolia	DRY	10	60	41	NA	NA		0	0	0	0	0	NA	1 and 2	d4	4	13.5		1	S	Chris	41	D. integrifolia	Alexandra Fiord	DRY	10	C	60	224	Longterm	Cassandra			
DRY10C	60	41	C1.C06.C1d4_DRY10C_60_41_R1_val_1_bismark_bt2_pe.bam	58625571	40218298	9020848	9386193	232	6241238	33977060	1161447804	39775433	82248624	22659586	138663361	21467425	856633375	D. integrifolia	Alexandra Fiord	DRY	10	C	60	224	Y	Cassandra	DRY_10_C_60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	10	60	Longterm	0	N	1	NA		0.02	11:52	209	208	0	NA	NA	NA	1 and 2	d4		Dr041	C	60	Dryas	DRY	10	50	50	49	1	224	Y	61	5.52	11	1.04	4.48	Y	Andrew		106	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	DRY	10	60	41	NA	NA		0	0	0	0	0	NA	1 and 2	d4	4	13.5		1	S	Chris	41	D. integrifolia	Alexandra Fiord	DRY	10	C	60	224	Longterm	Cassandra			
MEAD2C	451	76	C1.C07.C1c6_MEAD2C_451_76_R1_val_1_bismark_bt2_pe.bam	69803475	49508365	8588928	11705945	237	10916838	38591527	1290612307	40178353	101941543	21812701	157033618	22066647	947579445	D. integrifolia	Alexandra Fiord	MEAD	2	C	451	224	Longterm	Cassandra	MEAD_2_C_451	Dryas	MEAD	2	C	451	219	NA	NA	1	1	NA	NA	NA	55	Cap	2	MEAD	C	2	451	Longterm	2	Y		1		0.05	12:53	209	208	0	NA	NA	NA	1 and 2	c6		Dr076	C	451	Dryas	MEAD	2	50	53	53	0	224	Y	54	5.06	4	0.33	4.73	Y	Hailey		125	1	2		LOW	C	Alexandra Fiord	D. integrifolia	MEAD	2	451	76	NA	NA		0	0	0	0	0	NA	1 and 2	c6	3	9.99		1	S	Chris	76	D. integrifolia	Alexandra Fiord	MEAD	2	C	451	224	Longterm	Cassandra			
MEAD2C	451	76	C1.C07.C1c6_MEAD2C_451_76_R1_val_1_bismark_bt2_pe.bam	69803475	49508365	8588928	11705945	237	10916838	38591527	1290612307	40178353	101941543	21812701	157033618	22066647	947579445	D. integrifolia	Alexandra Fiord	MEAD	2	C	451	224	Longterm	Cassandra	MEAD_2_C_451	Dryas	MEAD	2	C	451	219	NA	NA	1	1	NA	NA	NA	55	Cap	2	MEAD	C	2	451	Longterm	2	Y		1		0.05	12:53	209	208	0	NA	NA	NA	1 and 2	c6		Dr076	C	451	Dryas	MEAD	2	50	53	53	0	224	Y	54	5.06	4	0.33	4.73	Y	Hailey		125	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	MEAD	2	451	76	NA	NA		0	0	0	0	0	NA	1 and 2	c6	3	9.99		1	S	Chris	76	D. integrifolia	Alexandra Fiord	MEAD	2	C	451	224	Longterm	Cassandra			
