Species,Site,Plot,C/T,Plant ID,Date,FLWR PHENO Flwr Bud,FLWR PHENO Flwr Mat,FLWR PHENO Flwr Sen.,FLWR PHENO Cap twist,FLWR PHENO Seed Disp,FLWR PHE Aborted,Eaten,Height,PHENO,Flwr_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,1,C,506,219,,,5,,,,3,40,Sen,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,1,C,505,219,,,3,,,,,37,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,1,T,501,219,,,1,,,2,,56,A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,1,T,1R,219,,,8,,,,,43,Sen,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,2,C,512,219,,,2,,,,,31,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,2,C,4R,219,,,3,,,,1,33,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,2,T,2R,219,,,1,9,,2,,91,Cap,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,2,T,3R,219,,,4,,,,,53,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,3,C,517,219,,,5,,,,,35,Sen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,3,C,516,219,,,3,,,,,27,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,3,T,515,219,,,5,3,,,,54,Cap,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,3,T,514,219,,,6,,,,,59,Sen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,4,C,524,219,,,,,,,1,17,Eat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,4,C,5R,219,,,11,,,1,,42,Sen,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
