Unique Random ID,Petri Dish ID#,C/T,Plant ID,Species,Site,Plot,# seeds (50 seeds),# seeds Petri dish in lab,ungerminated seed count GD33,total germinated seeds,Seeds Collection DOY,Phenology,# seeds (all seeds),weight all seeds (g/mg),# extra seed,weight extra seeds (g/mg),weight 50 seeds (mg),Extra seeds (Y/N),Processor,Comments,Unique non random ID,# Dryas flwrs,Dryas seed Ripeness,Notes
1,Dr001,C,1R,Dryas,MEAD,3,49,49,49,0,224,Y,54,6.03,5,0.13,5.9,Y,Cassandra,,127,1,2,
2,Dr002,C,553,Dryas,CASS,11,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,39,1,1,
3,Dr003,T,6R,Dryas,CASS,4,50,50,50,0,224,Y,100,12.12,50,5.74,6.38,Y,Zoe,,14,3,3,
4,Dr004,C,524,Dryas,CASS,4,50,49,47,0,224,Y,81,4.57,31,1.61,2.96,Y,Cassandra,,11,1,4,
5,Dr005,T,N1,Dryas,FERT,8,50,51,50,1,224,N,50,23.03,,15.7,7.33,Y,Zoe,,110,3,2,50 extra seeds used for germination tests 22-Jan-19
6,Dr006,T,4R,Dryas,MEAD,8,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,137,1,1,
7,Dr007,T,N18,Dryas,CASS,11,50,50,12,39,224,N,50,11.86,,2.91,8.95,Y,Zoe,,41,1,2,
8,Dr008,T,N1,Dryas,CASS,1,50,50,37,13,224,N,50,34.66,,26.48,8.18,Y,Zoe,,3,2,2,50 extra seeds used for germination tests 22-Jan-19
9,Dr009,C,12R,Dryas,CASS,7,50,50,48,0,224,Y,50,16.57,,10.18,6.39,Y,Zoe,,24,2,2,
10,Dr010,C,435,Dryas,WILL,8,50,50,50,0,224,Y,50,37.61,,31.1,6.51,Y,Andrew,,167,3,2,50 extra seeds used for germination tests 22-Jan-19
11,Dr011,T,N4,Dryas,FERT,24,50,49,46,3,224,N,50,13.41,,7.81,5.6,Y,Andrew,,117,2,3,
12,Dr012,C,N2,Dryas,DRY,2,50,48,46,0,224,N,50,8.3,,4.22,4.08,Y,Isabel,,76,2,2,
13,Dr013,T,417,Dryas,WILL,4,50,50,26,23,224,Y,50,32.63,,24.9,7.73,Y,Isabel,,153,3,2,
14,Dr014,C,8R,Dryas,CASS,6,50,49,45,0,224,Y,50,5.16,,0.65,4.51,Y,Isabel,,20,1,2,
15,Dr015,C,30,Dryas,DRY,5,50,50,50,0,224,Y,50,15.25,,10.21,5.04,Y,Andrew,,88,2,2,
16,Dr016,C,440,Dryas,WILL,10,50,50,50,0,224,Y,50,9.25,,4.31,4.94,Y,Andrew,,173,2,2,
17,Dr017,T,10,Dryas,MIGR,21,50,50,32,18,225,N,50,29.33,,20.85,8.48,Y,Andrew,,186,4,4,
18,Dr018,C,N20,Dryas,CASS,13,50,50,48,0,224,N,50,11.75,,6.49,5.26,Y,Andrew,,48,2,2,
19,Dr019,T,600,Dryas,CASS,7,50,43,28,12,224,Y,50,22.72,,14.02,8.7,Y,Andrew,,25,3,2,
20,Dr020,C,7,Dryas,MIGR,19,50,48,48,0,225,N,50,16.38,,10.59,5.79,Y,Zoe,,183,2,2,
21,Dr021,T,6,Dryas,MIGR,6,50,50,7,43,225,N,50,45.34,,31.17,14.17,Y,Zoe,,182,2,3,
22,Dr022,C,468,Dryas,MEAD,6,50,49,48,0,224,Y,50,15.16,,10.36,4.8,Y,Zoe,,132,3,2,
23,Dr023,T,431,Dryas,WILL,8,0,0,,,224,Y,0,0,0,0,0,N,Zoe,,169,2,1,
24,Dr024,C,N9,Dryas,CASS,7,50,50,50,0,224,N,50,17.43,,11.75,5.68,Y,Zoe,,23,4,2,
25,Dr025,C,452,Dryas,WILL,9,0,0,,,224,Y,0,0,0,0,0,N,Hailey,,171,1,1,
26,Dr026,T,420,Dryas,WILL,5,50,50,40,11,224,Y,50,71.05,,61.78,9.27,Y,Hailey,,157,4,2,
27,Dr027,T,587,Dryas,CASS,14,50,50,49,0,224,Y,50,12.56,,7.42,5.14,Y,Hailey,,53,2,2,
28,Dr028,T,519,Dryas,CASS,4,50,43,24,17,224,Y,50,20.73,,11.88,8.85,Y,Hailey,,13,3,2,
29,Dr029,C,N25,Dryas,CASS,15,50,50,50,0,224,N,50,12.72,,7.01,5.71,Y,zoe,,56,1,2,
30,Dr030,C,1,Dryas,MIGR,1,50,51,43,4,225,N,50,21.84,,16.32,5.52,Y,Andrew,,177,3,2,
31,Dr031,C,422,Dryas,WILL,5,50,50,50,0,224,Y,50,3.36,0,0,3.36,N,Andrew,,155,1,2,
32,Dr032,C,7R,Dryas,MEAD,10,0,0,,,224,Y,0,0,0,0,0,N,Andrew,,140,2,1,
33,Dr033,C,446,Dryas,MEAD,1,50,46,48,0,224,Y,61,3.64,11,0.55,3.09,Y,Andrew,,123,1,2,
34,Dr034,T,2,Dryas,MIGR,1,50,50,25,25,225,N,50,91.92,,81,10.92,Y,Andrew,,178,6,3,
35,Dr035,T,515,Dryas,CASS,3,50,44,43,0,224,Y,50,7.39,,3.43,3.96,Y,Andrew,,9,1,2,
36,Dr036,T,N6,Dryas,DRY,4,50,51,17,33,224,N,50,49.92,,35.44,14.48,Y,Hailey,,85,3,3,
37,Dr037,T,N5,Dryas,CASS,3,50,50,17,32,224,N,50,25.74,,15.8,9.94,Y,Cassandra,,10,1,2,
38,Dr038,C,528,Dryas,CASS,5,50,50,50,0,224,Y,67,7.9,17,1.92,5.98,Y,Hailey,,15,1,2,
39,Dr039,T,3,Dryas,DRY,1,50,50,49,1,224,Y,50,51.3,,45.63,5.67,Y,Andrew,,74,5,2,
40,Dr040,T,14F,Dryas,FERT,30,50,47,31,15,224,Y,50,21.82,,14.67,7.15,Y,Andrew,,119,2,2,
41,Dr041,C,60,Dryas,DRY,10,50,50,49,1,224,Y,61,5.52,11,1.04,4.48,Y,Andrew,,106,1,2,
42,Dr042,T,408,Dryas,WILL,2,0,0,,,224,Y,0,0,0,0,0,N,Andrew,,147,1,1,
43,Dr043,C,541,Dryas,CASS,9,50,50,49,0,224,Y,50,13.63,,9.26,4.37,Y,Andrew,,31,4,2,
44,Dr044,C,N29,Dryas,CASS,17,50,27,27,0,224,N,50,12.5,,7.23,5.27,Y,Isabel,22 seeds lost after weighing (among the 50 seeds),64,2,2,
45,Dr045,T,3R,Dryas,WILL,3,50,49,48,0,224,Y,50,29.17,,22.2,6.97,Y,Cassandra,,152,3,2,
46,Dr046,T,N16,Dryas,CASS,10,50,50,18,32,224,N,50,56.45,,43.49,12.96,Y,Isabel,,38,4,3,
47,Dr047,T,427,Dryas,WILL,6,50,50,50,0,224,Y,50,12.1,,7.64,4.46,Y,Cassandra,,161,3,2,
48,Dr048,C,N6,Dryas,FERT,29,50,50,49,0,224,N,50,14.04,,8.6,5.44,Y,Isabel,,118,2,2,
49,Dr049,C,N22,Dryas,CASS,14,50,50,49,0,224,N,50,20.06,,15.16,4.9,Y,Andrew,,51,3,2,
50,Dr050,C,1R,Dryas,DRY,10,50,50,50,0,224,Y,50,22.24,,16.58,5.66,Y,Andrew,,105,3,2,
51,Dr051,T,N8,Dryas,CASS,6,50,44,44,0,224,N,50,27.78,,19.07,8.71,Y,Andrew,,22,2,2,
52,Dr052,C,10,Dryas,DRY,2,50,50,46,0,224,Y,50,7.52,,4.62,2.9,Y,Andrew,,75,2,2,
53,Dr053,T,585,Dryas,CASS,14,50,49,47,0,224,Y,56,5.81,6,0.58,5.23,Y,Andrew,,54,1,2,
54,Dr054,C,535,Dryas,CASS,8,50,50,48,0,224,Y,50,15,,11.79,3.21,Y,Andrew,,28,3,2,
55,Dr055,C,N13,Dryas,CASS,9,50,50,53,0,224,N,50,18.47,,13.6,4.87,Y,Andrew,,32,3,2,
56,Dr056,T,1R,Dryas,CASS,1,50,50,50,0,224,Y,50,13.17,,6.23,6.94,Y,Andrew,*edge of the OTC,4,2,3,
57,Dr057,C,N23,Dryas,CASS,14,50,50,49,0,224,N,50,19.09,,14.56,4.53,Y,Andrew,,52,3,2,
58,Dr058,C,411,Dryas,WILL,2,50,50,52,0,224,Y,50,8.1,,5.14,2.96,Y,Andrew,,145,2,2,
59,Dr059,T,21,Dryas,DRY,4,50,50,45,3,224,Y,50,34.68,,28.19,6.49,Y,Andrew,,86,3,3,
60,Dr060,T,544,Dryas,CASS,10,50,50,36,14,224,Y,50,29.08,,19.78,9.3,Y,Hailey,,37,3,3,
61,Dr061,T,4,Dryas,MIGR,4,50,47,34,11,225,N,50,10.58,,2.98,7.6,Y,Hailey,,180,1,4,
62,Dr062,T,12,Dryas,MIGR,24,50,50,48,1,225,N,50,25.2,,16.22,8.98,Y,Hailey,,188,2,2,
63,Dr063,C,N13,Dryas,DRY,8,50,50,48,0,224,N,50,9.16,,4.71,4.45,Y,Hailey,,97,2,2,
64,Dr064,C,N2,Dryas,CASS,1,50,49,48,0,224,N,50,7.7,,2.47,5.23,Y,Hailey,,2,1,2,
65,Dr065,C,N4,Dryas,CASS,2,50,50,47,0,224,N,50,4.44,,1.23,3.21,Y,Hailey,,5,1,2,
66,Dr066,C,1R,Dryas,WILL,1,50,50,45,5,224,Y,50,40.41,,33.7,6.71,Y,Hailey,,142,3,2,
