File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
Asian1_F112573_R1_val_1_bismark_bt2_pe.bam	64209679	43596051	14616002	5997486	140	7160792	36435259	1364815190	51240134	78638760	28465968	159205683	33380037	1013884608
Chilliwack1_F112574_R1_val_1_bismark_bt2_pe.bam	82722771	54883807	20211250	7627597	117	15697355	39186452	1342391531	45710333	87374281	30496749	149154865	47114005	982541298
MatFl_Cass_10W_60_544_F112581_R1_val_1_bismark_bt2_pe.bam	67224307	45544325	15373811	6306104	67	8442549	37101776	1118271371	51663797	61901268	34493436	111984979	52152287	806075604
MatFl_Cass_4C_4_524_F112579_R1_val_1_bismark_bt2_pe.bam	62506376	41645726	15001775	5858816	59	15474393	26171333	791588206	34363763	46893803	23626848	80109049	58894308	547700435
MatFl_Cass_5W_130_525_F112580_R1_val_1_bismark_bt2_pe.bam	64744364	42125939	16308064	6310295	66	13510803	28615136	913433928	41581183	52556101	28590647	95931935	52248827	642525235
MatFl_Fert_5C_97_1F_F112583_R1_val_1_bismark_bt2_pe.bam	52992618	36778949	11672028	4541590	51	11255058	25523891	819595457	37243119	52333844	26860917	81953514	45522256	575681807
MatFl_Fert_6W_110_3F_F112584_R1_val_1_bismark_bt2_pe.bam	58085135	39598541	13596097	4890440	57	12411699	27186842	871492620	42695027	45278992	30892110	82302365	54625261	615698865
MatFl_Mead_1C_33_446_F112577_R1_val_1_bismark_bt2_pe.bam	50677333	25683946	19611183	5382152	52	13391715	12292231	336959720	20999871	21895785	16308532	36356191	36905737	204493604
MatFl_Mead_1W_116_444_F112578_R1_val_1_bismark_bt2_pe.bam	49695911	26172260	17559164	5964438	49	11142634	15029626	434183439	31844949	26377347	25056861	44489509	63583384	242831389
MatFl_Will_3C_100_414_F112575_R1_val_1_bismark_bt2_pe.bam	65558826	45054509	14660326	5843928	63	11282581	33771928	1142973980	50522427	67749997	35783727	117560136	49655319	821702374
MatFl_Will_4W_13_417_F112576_R1_val_1_bismark_bt2_pe.bam	65488799	43101633	16596711	5790364	91	10104297	32997336	1036775219	50350047	57958695	36165412	101855512	63574548	726871005
SE_A_C_L_125_11_F112561_R1_val_1_bismark_bt2_pe.bam	54446369	29387910	18997910	6060428	121	7801590	21586320	683942493	43263641	42691779	31743623	77442014	57811996	430989440
SE_A_C_L_170_5_F112555_R1_val_1_bismark_bt2_pe.bam	58879325	29419116	25066839	4393275	95	12144846	17274270	558548636	22988694	35291889	16538938	58694064	35808244	389226807
SE_L_C_H_187_98_F112565_R1_val_1_bismark_bt2_pe.bam	53960871	34940390	12691429	6328967	85	11680384	23260006	631942858	42081228	31631199	32013623	61403736	63538623	401274449
SE_L_C_H_191_100_F112569_R1_val_1_bismark_bt2_pe.bam	41447663	26452527	10370215	4624837	84	4778534	21673993	713631337	36304125	42843010	26018983	76435061	33252619	498777539
SE_L_C_H_191_102_F112568_R1_val_1_bismark_bt2_pe.bam	42360257	20173189	18867303	3319704	61	3649932	16523257	506790206	20438906	27238988	13246228	55927047	17236874	372702163
SE_L_C_H_194_92_F112566_R1_val_1_bismark_bt2_pe.bam	67927600	45297395	14633557	7996571	77	15146776	30150619	1004148922	67087124	47503761	48970411	96366546	68160005	676061075
SE_L_C_H_194_92J_F112572_R1_val_1_bismark_bt2_pe.bam	51370418	33388712	12588572	5393023	111	13171467	20217245	662530592	30716165	38308194	21989016	68594773	53355382	449567062
SE_L_C_L_187_38_F112560_R1_val_1_bismark_bt2_pe.bam	70394813	48026640	16134062	6234013	98	16202686	31823954	1076806261	56765286	50522822	38218877	106984381	60014450	764300445
SE_L_C_L_198_35_F112558_R1_val_1_bismark_bt2_pe.bam	66978818	45749065	13958288	7271340	125	4587505	41161560	1631720930	69491319	88997579	40804745	193479475	47066933	1191880879
SE_L_W_H_219_104_F112567_R1_val_1_bismark_bt2_pe.bam	55090138	36758011	12545064	5787010	53	10679011	26079000	862452534	49371815	44472829	38039943	82076828	64419537	584071582
SE_L_W_H_219_105_F112564_R1_val_1_bismark_bt2_pe.bam	45707767	29618501	11874886	4214321	59	4652501	24966000	855381019	43145521	41917887	30812881	85873126	43062675	610568929
SE_L_W_H_219_105J_F112571_R1_val_1_bismark_bt2_pe.bam	49726106	32984382	11633190	5108462	72	5599332	27385050	948920781	40874509	59225059	27998267	104581617	34412557	681828772
SE_L_W_L_190_43_F112556_R1_val_1_bismark_bt2_pe.bam	46179288	27199478	14686136	4293596	78	9480375	17719103	575022867	25431009	33891812	17663022	61328541	37948143	398760340
SE_L_W_L_198_34_F112563_R1_val_1_bismark_bt2_pe.bam	50980169	36162063	8343447	6474556	103	7595304	28566759	929826811	43642634	52162329	28017835	102513951	42886612	660603450
SE_L_W_L_219_42_F112557_R1_val_1_bismark_bt2_pe.bam	55544831	30587570	18521261	6435892	108	2909172	27678398	981161727	38344943	63211958	23031974	121563384	20772680	714236788
SE_T_C_L_238_47_F112559_R1_val_1_bismark_bt2_pe.bam	50881917	33348196	13213155	4320482	84	8999866	24348330	835050117	36165800	47471685	25607948	85292401	43230930	597281353
SE_T_W_H_228_95_F112570_R1_val_1_bismark_bt2_pe.bam	49050371	28166135	12656564	8227607	65	15080013	13086122	390683788	33362461	21527438	25259598	39964055	63558226	207012010
