Chamber,C.W,Site,Species,Community,Plot,Plant.ID,Unique.Random.ID.x,Number.of.Seeds,Seed.weight.mg,Seed.Agar.group,Jan22.Low,Jan25.Low,Jan28.Low,Jan31.Low,Feb1st,Percent_germ
LOW,C,Alexandra Fiord,D. integrifolia,MEAD,3,1R,1,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,MEAD,3,1R,1,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,CASS,4,524,4,23,0.005,C1,0,3,7,9,11,0.47826087
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,4,524,4,23,0.005,C1,0,0,5,7,6,0.260869565
LOW,W,Alexandra Fiord,D. integrifolia,MEAD,8,4R,6,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,MEAD,8,4R,6,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,WILL,4,417,13,20,0.003,C1,0,0,0,0,0,0
HIGH,W,Alexandra Fiord,D. integrifolia,WILL,4,417,13,20,0.003,C1,0,0,0,0,0,0
LOW,C,Alexandra Fiord,D. integrifolia,WILL,10,440,16,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,WILL,10,440,16,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,CASS,7,600,19,21,0.002,C1,0,0,0,0,0,0
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,7,600,19,21,0.002,C1,0,0,0,0,0,0
LOW,C,Alexandra Fiord,D. integrifolia,MEAD,6,468,22,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,MEAD,6,468,22,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,CASS,4,519,28,25,0.007,C1,0,3,8,8,8,0.32
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,4,519,28,25,0.007,C1,0,0,4,5,7,0.28
LOW,C,Alexandra Fiord,D. integrifolia,WILL,5,422,31,25,0.007,C1,0,0,0,0,0,0
HIGH,C,Alexandra Fiord,D. integrifolia,WILL,5,422,31,25,0.007,C1,0,1,0,0,0,0
LOW,C,Alexandra Fiord,D. integrifolia,MEAD,1,446,33,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,MEAD,1,446,33,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,DRY,1,3,39,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,DRY,1,3,39,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,FERT,30,14F,40,25,0.006,C2,1,3,1,2,2,0.08
HIGH,W,Alexandra Fiord,D. integrifolia,FERT,30,14F,40,25,0.006,C2,1,0,1,1,1,0.04
LOW,C,Alexandra Fiord,D. integrifolia,DRY,10,60,41,,,,0,0,0,0,0,
