File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
C1.A10.C1d12_CASS5C_529_159_R1_val_1_bismark_bt2_pe.bam	56319691	39637429	7740647	8941376	239	5908150	33729279	1160567403	39214203	83449584	22692781	138330837	21666789	855213209
C1.B05.C1d1_CASS4C_524_4_R1_val_1_bismark_bt2_pe.bam	52206820	36317190	7562944	8326507	179	5283929	31033261	1056855231	36386643	73737497	20400005	126222907	19059715	781048464
C1.B07.C1b6_FERT39C_20F_71_R1_val_1_bismark_bt2_pe.bam	52311827	36361328	6948726	9001530	243	5597777	30763551	1033324283	34155366	75593517	17833968	125612117	17761025	762368290
C1.C06.C1d4_DRY10C_60_41_R1_val_1_bismark_bt2_pe.bam	58625571	40218298	9020848	9386193	232	6241238	33977060	1161447804	39775433	82248624	22659586	138663361	21467425	856633375
C1.C07.C1c6_MEAD2C_451_76_R1_val_1_bismark_bt2_pe.bam	69803475	49508365	8588928	11705945	237	10916838	38591527	1290612307	40178353	101941543	21812701	157033618	22066647	947579445
C1.C09.C1d11_CASS10C_548_144_R1_val_1_bismark_bt2_pe.bam	53452449	37179479	7367375	8905411	184	5614184	31565295	1040168851	36732583	70508888	21360898	123029298	20622422	767914762
C1.C10.C1f12_FERT31C_15F_170_R1_val_1_bismark_bt2_pe.bam	53722275	37477353	7438073	8806626	223	5646290	31831063	1078357063	36180270	78827167	22843027	126751846	30178123	783576630
C1.D05.C1a2_WILL10C_440_16_R1_val_1_bismark_bt2_pe.bam	62471119	43626564	9503074	9341284	197	7569803	36056761	1250368907	42903807	86949562	23535127	150281526	22038321	924660564
C1.D06.C1h4_DRY2C_10_52_R1_val_1_bismark_bt2_pe.bam	55889191	36710123	10881980	8296856	232	5211660	31498463	1075682845	37854817	72672121	21451860	127859533	21445537	794398977
C1.D07.C1f6_DRY4C_23_82_R1_val_1_bismark_bt2_pe.bam	53302775	37258621	7365005	8678923	226	5317214	31941407	1080710364	37805603	72865804	20440776	129425931	19924400	800247850
C1.D08.C1h8_FERT13C_7F_112_R1_val_1_bismark_bt2_pe.bam	80202895	55677600	12305282	12219685	328	9932326	45745274	1610371602	57742786	106036147	32890644	190601810	34886323	1188213892
C1.E06.C1b5_CASS8C_535_54_R1_val_1_bismark_bt2_pe.bam	52717593	36293100	8097888	8326412	193	5386121	30906979	1089212713	38611794	73005162	21498611	129566638	19754138	806776370
C1.E09.C1g11_DRY9C_53_149_R1_val_1_bismark_bt2_pe.bam	51107885	36116139	7374319	7617236	191	5122091	30994048	1067909622	36231391	74919305	20576701	127822298	19740838	788619089
C1.F05.C1e2_MEAD6C_468_22_R1_val_1_bismark_bt2_pe.bam	54826904	38109890	7465822	9250991	201	6132838	31977052	1068273137	36900652	74814547	20530594	127611709	21566191	786849444
C1.F07.C1f7_MEAD7C_473_95_R1_val_1_bismark_bt2_pe.bam	63203548	43954525	8789782	10458977	264	7237995	36716530	1266377268	39788540	98992798	23198629	152583086	21137351	930676864
C1.F08.C1a10_WILL7C_445_125_R1_val_1_bismark_bt2_pe.bam	54074498	37934453	7466749	8673113	183	5680826	32253627	1137835620	36501874	86684229	21015861	136755511	20718136	836160009
C1.F09.C1a12_WILL1C_406_152_R1_val_1_bismark_bt2_pe.bam	56396034	39534223	7869766	8991815	230	6763695	32770528	1136169809	38920532	80312281	21838130	135944497	23293111	835861258
