Plate,Location,Unique Random ID,Numb Lv,Weight,DNA extraction comments,Hair on leaves,Petioles,Observer,Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector,Latitude,Longitude,Comments
1 and 2,a1,1,4,10.5,,1,S,,1,D. integrifolia,Alexandra Fiord,MEAD,3,C,1R,224,Y,Cassandra,,,
1 and 2,b1,2,3,10.1,,1,S,,2,D. integrifolia,Alexandra Fiord,CASS,11,C,553,224,Longterm,Cassandra,,,
1 and 2,c1,3,2,11.9,2- little hair,2,S,,3,D. integrifolia,Alexandra Fiord,CASS,4,W,6R,224,Y,Cassandra,,,
1 and 2,d1,4,3,10,,1,S,,4,D. integrifolia,Alexandra Fiord,CASS,4,C,524,224,Longterm,Cassandra,,,
1 and 2,e1,6,3,10,,1,S,,6,D. integrifolia,Alexandra Fiord,MEAD,8,W,4R,224,Y,Cassandra,,,
1 and 2,f1,10,5,11.7,,1,S,,10,D. integrifolia,Alexandra Fiord,WILL,8,C,435,224,Longterm,Cassandra,,,
1 and 2,g1,13,3,10.2,,1,S,,13,D. integrifolia,Alexandra Fiord,WILL,4,W,417,224,Longterm,Cassandra,,,
1 and 2,h1,15,3,10.4,,1,S,,15,D. integrifolia,Alexandra Fiord,DRY,5,C,30,224,Longterm,Cassandra,,,
1 and 2,a2,16,6,11.2,,1,S,,16,D. integrifolia,Alexandra Fiord,WILL,10,C,440,224,Longterm,Cassandra,,,
1 and 2,b2,17,2,11.4,,1,S,,17,D. integrifolia,Alexandra Fiord,MIGR,21,W,10,225,N,Cassandra,,,
1 and 2,c2,19,3,10.2,3 -some hair,3,S,,19,D. integrifolia,Alexandra Fiord,CASS,7,W,600,224,Longterm,Cassandra,,,
1 and 2,d2,21,2,10.8,4- hairy leaves,4,S,,21,D. integrifolia,Alexandra Fiord,MIGR,6,W,6,225,N,Cassandra,,,
1 and 2,e2,22,4,10.8,,1,S,,22,D. integrifolia,Alexandra Fiord,MEAD,6,C,468,224,Longterm,Cassandra,,,
1 and 2,f2,23,6,10,,1,S,,23,D. integrifolia,Alexandra Fiord,WILL,8,W,431,224,Longterm,Cassandra,,,
1 and 2,g2,25,4,11.4,,1,S,,25,D. integrifolia,Alexandra Fiord,WILL,9,C,452,224,Longterm,Cassandra,,,
1 and 2,h2,26,3,10,"2 little hair, long petioles",2,L,,26,D. integrifolia,Alexandra Fiord,WILL,5,W,420,224,Longterm,Cassandra,,,
1 and 2,a3,27,3,11,,1,S,Hailey,27,D. integrifolia,Alexandra Fiord,CASS,14,W,587,224,Longterm,Cassandra,,,
1 and 2,b3,28,2,12.8,3 hairy,3,S,Cassandra,28,D. integrifolia,Alexandra Fiord,CASS,4,W,519,224,Longterm,Cassandra,,,
1 and 2,c3,30,4,10.7,,1,S,Hailey,30,D. integrifolia,Alexandra Fiord,MIGR,1,C,1,225,N,Cassandra,,,
1 and 2,d3,31,3,11.6,,1,S,Hailey,31,D. integrifolia,Alexandra Fiord,WILL,5,C,422,224,Longterm,Cassandra,,,
1 and 2,e3,32,5,11.1,,1,S,Cassandra,32,D. integrifolia,Alexandra Fiord,MEAD,10,C,7R,224,Y,Cassandra,,,
1 and 2,f3,33,7,10.3,,1,S,Hailey,33,D. integrifolia,Alexandra Fiord,MEAD,1,C,446,224,Longterm,Cassandra,,,
1 and 2,g3,34,2,10.6,"1 - no hair and large leaves, long stems",1,L,Cassandra,34,D. integrifolia,Alexandra Fiord,MIGR,1,W,2,225,N,Cassandra,,,
1 and 2,h3,35,4,13.3,,1,S,Hailey,35,D. integrifolia,Alexandra Fiord,CASS,3,W,515,224,Longterm,Cassandra,,,
1 and 2,a4,38,3,11.6,3 hairy leaves,3,S,Cassandra,38,D. integrifolia,Alexandra Fiord,CASS,5,C,528,224,Longterm,Cassandra,,,
1 and 2,b4,39,5,11.2,,1,S,Hailey,39,D. integrifolia,Alexandra Fiord,DRY,1,W,3,224,Longterm,Cassandra,,,
1 and 2,c4,40,3,11.6,,1,S,Hailey,40,D. integrifolia,Alexandra Fiord,FERT,30,W,14F,224,Y,Cassandra,,,
1 and 2,d4,41,4,13.5,,1,S,Chris,41,D. integrifolia,Alexandra Fiord,DRY,10,C,60,224,Longterm,Cassandra,,,
1 and 2,e4,42,4,11.5,3 hairy leaves,3,S,Cassandra,42,D. integrifolia,Alexandra Fiord,WILL,2,W,408,224,Longterm,Cassandra,,,
1 and 2,f4,43,4,12.0,,1,S,Chris,43,D. integrifolia,Alexandra Fiord,CASS,9,C,541,224,Longterm,Cassandra,,,
1 and 2,g4,47,3,10,long petioles,1,L,Cassandra,47,D. integrifolia,Alexandra Fiord,WILL,6,W,427,224,Longterm,Cassandra,,,
1 and 2,h4,52,5,10,,1,S,Chris,52,D. integrifolia,Alexandra Fiord,DRY,2,C,10,224,Longterm,Cassandra,,,
1 and 2,a5,53,3,=14-2.4,4 hairy lv,4,S,Cassandra,53,D. integrifolia,Alexandra Fiord,CASS,14,W,585,224,Longterm,Cassandra,,,
1 and 2,b5,54,4,=14.9-2.4,2- hairy,2,S,Cassandra,54,D. integrifolia,Alexandra Fiord,CASS,8,C,535,224,Longterm,Cassandra,,,
1 and 2,c5,58,3,11.2,2-hairy,2,S,Chris,58,D. integrifolia,Alexandra Fiord,WILL,2,C,411,224,Longterm,Cassandra,,,
1 and 2,d5,59,5,12.3,,1,S,Chris,59,D. integrifolia,Alexandra Fiord,DRY,4,W,21,224,Longterm,Cassandra,,,
1 and 2,e5,60,7,=13.6-2.4,,1,S,Cassandra,60,D. integrifolia,Alexandra Fiord,CASS,10,W,544,224,Longterm,Cassandra,,,
1 and 2,f5,61,2,=13.5-2.4,2-hairy,2,S,Chris,61,D. integrifolia,Alexandra Fiord,MIGR,4,W,4,225,N,Cassandra,,,
1 and 2,g5,67,2,14,2- hairy,2,S,Cassandra,67,D. integrifolia,Alexandra Fiord,WILL,1,W,403,224,Longterm,Cassandra,,,
1 and 2,h5,69,3,12.7,,1,S,Chris,69,D. integrifolia,Alexandra Fiord,DRY,3,W,15,224,Longterm,Cassandra,,,
