Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector
1,D. integrifolia,Alexandra Fiord,MEAD,3,C,1R,224,Y,Cassandra
2,D. integrifolia,Alexandra Fiord,CASS,11,C,553,224,Longterm,Cassandra
3,D. integrifolia,Alexandra Fiord,CASS,4,W,6R,224,Y,Cassandra
4,D. integrifolia,Alexandra Fiord,CASS,4,C,524,224,Longterm,Cassandra
5,D. integrifolia,Alexandra Fiord,FERT,8,W,N1,224,N,Cassandra
6,D. integrifolia,Alexandra Fiord,MEAD,8,W,4R,224,Y,Cassandra
7,D. integrifolia,Alexandra Fiord,CASS,11,W,N18,224,N,Cassandra
8,D. integrifolia,Alexandra Fiord,CASS,1,W,N1,224,N,Cassandra
9,D. integrifolia,Alexandra Fiord,CASS,7,C,12R,224,Y,Cassandra
10,D. integrifolia,Alexandra Fiord,WILL,8,C,435,224,Longterm,Cassandra
11,D. integrifolia,Alexandra Fiord,FERT,24,W,N4,224,N,Cassandra
12,D. integrifolia,Alexandra Fiord,DRY,2,C,N2,224,N,Cassandra
13,D. integrifolia,Alexandra Fiord,WILL,4,W,417,224,Longterm,Cassandra
14,D. integrifolia,Alexandra Fiord,CASS,6,C,8R,224,Y,Cassandra
15,D. integrifolia,Alexandra Fiord,DRY,5,C,30,224,Y,Cassandra
16,D. integrifolia,Alexandra Fiord,WILL,10,C,440,224,Longterm,Cassandra
17,D. integrifolia,Alexandra Fiord,MIGR,21,W,10,225,N,Cassandra
18,D. integrifolia,Alexandra Fiord,CASS,13,C,N20,224,N,Cassandra
19,D. integrifolia,Alexandra Fiord,CASS,7,W,600,224,Longterm,Cassandra
20,D. integrifolia,Alexandra Fiord,MIGR,19,C,7,225,N,Cassandra
21,D. integrifolia,Alexandra Fiord,MIGR,6,W,6,225,N,Cassandra
22,D. integrifolia,Alexandra Fiord,MEAD,6,C,468,224,Longterm,Cassandra
23,D. integrifolia,Alexandra Fiord,WILL,8,W,431,224,Longterm,Cassandra
24,D. integrifolia,Alexandra Fiord,CASS,7,C,N9,224,N,Cassandra
25,D. integrifolia,Alexandra Fiord,WILL,9,C,452,224,Longterm,Cassandra
26,D. integrifolia,Alexandra Fiord,WILL,5,W,420,224,Longterm,Cassandra
27,D. integrifolia,Alexandra Fiord,CASS,14,W,587,224,Longterm,Cassandra
28,D. integrifolia,Alexandra Fiord,CASS,4,W,519,224,Longterm,Cassandra
29,D. integrifolia,Alexandra Fiord,CASS,15,C,N25,224,N,Cassandra
30,D. integrifolia,Alexandra Fiord,MIGR,1,C,1,225,N,Cassandra
31,D. integrifolia,Alexandra Fiord,WILL,5,C,422,224,Longterm,Cassandra
32,D. integrifolia,Alexandra Fiord,MEAD,10,C,7R,224,Y,Cassandra
33,D. integrifolia,Alexandra Fiord,MEAD,1,C,446,224,Longterm,Cassandra
34,D. integrifolia,Alexandra Fiord,MIGR,1,W,2,225,N,Cassandra
35,D. integrifolia,Alexandra Fiord,CASS,3,W,515,224,Longterm,Cassandra
36,D. integrifolia,Alexandra Fiord,DRY,4,W,N6,224,N,Cassandra
37,D. integrifolia,Alexandra Fiord,CASS,3,W,N5,224,N,Cassandra
38,D. integrifolia,Alexandra Fiord,CASS,5,C,528,224,Longterm,Cassandra
39,D. integrifolia,Alexandra Fiord,DRY,1,W,3,224,Y,Cassandra
40,D. integrifolia,Alexandra Fiord,FERT,30,W,14F,224,Y,Cassandra
41,D. integrifolia,Alexandra Fiord,DRY,10,C,60,224,Y,Cassandra
42,D. integrifolia,Alexandra Fiord,WILL,2,W,408,224,Longterm,Cassandra
43,D. integrifolia,Alexandra Fiord,CASS,9,C,541,224,Longterm,Cassandra
44,D. integrifolia,Alexandra Fiord,CASS,17,C,N29,224,N,Cassandra
45,D. integrifolia,Alexandra Fiord,WILL,3,W,3R,224,Y,Cassandra
46,D. integrifolia,Alexandra Fiord,CASS,10,W,N16,224,N,Cassandra
47,D. integrifolia,Alexandra Fiord,WILL,6,W,427,224,Longterm,Cassandra
48,D. integrifolia,Alexandra Fiord,FERT,29,C,N6,224,N,Cassandra
49,D. integrifolia,Alexandra Fiord,CASS,14,C,N22,224,N,Cassandra
50,D. integrifolia,Alexandra Fiord,DRY,10,C,1R,224,Y,Cassandra
51,D. integrifolia,Alexandra Fiord,CASS,6,W,N8,224,N,Cassandra
52,D. integrifolia,Alexandra Fiord,DRY,2,C,10,224,Y,Cassandra
53,D. integrifolia,Alexandra Fiord,CASS,14,W,585,224,Longterm,Cassandra
54,D. integrifolia,Alexandra Fiord,CASS,8,C,535,224,Longterm,Cassandra
55,D. integrifolia,Alexandra Fiord,CASS,9,C,N13,224,N,Cassandra
56,D. integrifolia,Alexandra Fiord,CASS,1,W,1R,224,Y,Cassandra
57,D. integrifolia,Alexandra Fiord,CASS,14,C,N23,224,N,Cassandra
58,D. integrifolia,Alexandra Fiord,WILL,2,C,411,224,Longterm,Cassandra
59,D. integrifolia,Alexandra Fiord,DRY,4,W,21,224,Y,Cassandra
60,D. integrifolia,Alexandra Fiord,CASS,10,W,544,224,Longterm,Cassandra
61,D. integrifolia,Alexandra Fiord,MIGR,4,W,4,225,N,Cassandra
62,D. integrifolia,Alexandra Fiord,MIGR,24,W,12,225,N,Cassandra
63,D. integrifolia,Alexandra Fiord,DRY,8,C,N13,224,N,Cassandra
