FileName                                      #DMRS     Proportion
Alaska_W_C.bedGraph                           866
Svalbard_W_C.bedGraph                         358
Sweden_W_C.bedGraph                           1737
Nunavut_W_C.bedGraph                          322
Parent_W_C.bedGraph                           449
	
ALL_Sites_intersect_DMRs.bedgraph             4
ALEX_SVAL_ALAS_Sites_intersect_DMRs.bedgraph  7
ALEX_SVAL_SWED_Sites_intersect_DMRs.bedgraph  9
ALEX_SWED_ALAS_Sites_intersect_DMRs.bedgraph  19
SVAL_SWED_ALAS_Sites_intersect_DMRs.bedgraph  15

SE_L_H.bedGraph                               426
SE_W_C.bedGraph                               888
intersect_SE_W_C_P_W_C.bedGraph               152
intersect_SE_W_C_Wild_W_C.bedGraph            84
	 
total_subtract_SE_W_C_P_W_C.bedGraph          736   
total_subtract_SE_W_C_SE_L_H.bedGraph         780

Wild_W_C.bedGraph                             385
Mat_Sen.bedGraph                              4989
intersect_Wild_W_C_Mat_Sen.bedGraph           69
total_subtract_W_C_Mat_Sen.bedGraph           316
	 
Wild_Lat_L_H.bedGraph                         14986 
intersect_SE_L_H_Wild_L_H.bedGraph   	      338 
intersect_SE_W_C_SE_L_H.bedGraph              108 

total                                         28043 
