ID,TotalMeth,Treat,SubSite,Plot,Plant,NA,Site
W_CASS_04W_519_NA,0,W,CASS,04W,519,NA,Alex
W_WILL_7W_448_107,NA,W,WILL,7W,448,107,Alex
W_FERT_14W_6F_126,4697.63241,W,FERT,14W,6F,126,Alex
W_LATJ_04W_NA_188,3099.12086,W,LATJ,04W,NA,188,LATJ
W_LATC_1W_12_219,204.208731,W,LATC,1W,12,219,LATJ
W_ALAS_0W_14_249,5439.60401,W,ALAS,0W,14,249,ALAS
W_LATC_9W_11_216,5101.75111,W,LATC,9W,11,216,LATJ
W_DRY_6W_31_147,58.136865,W,DRY,6W,31,147,Alex
W_SVAL_6W_6_274,5443.49069,W,SVAL,6W,6,274,SVAL
W_SVAL_18W_18_271,3022.693258,W,SVAL,18W,18,271,SVAL
W_LATD_4W_8_211,2265.39684,W,LATD,4W,8,211,LATJ
W_MEAD_2W_450_70,154.587672,W,MEAD,2W,450,70,Alex
W_ALAS_00W_00_228,5459.61855,W,ALAS,00W,00,228,ALAS
W_DRY_9W_50_185,241.48814,W,DRY,9W,50,185,Alex
W_LATD_2W_5_206,0,W,LATD,2W,5,206,LATJ
W_ALAS_0W_8_265,3029.68045,W,ALAS,0W,8,265,ALAS
W_WILL_5W_421_154,5413.73023,W,WILL,5W,421,154,Alex
W_LATJ_02W_00_193,16.025641,W,LATJ,02W,00,193,LATJ
W_ALAS_0W_7_263,4576.886536,W,ALAS,0W,7,263,ALAS
W_MEAD_6W_466_163,5320.71514,W,MEAD,6W,466,163,Alex
W_WILL_4W_417_13,18.803419,W,WILL,4W,417,13,Alex
W_MEAD_1W_444_116,616.914809,W,MEAD,1W,444,116,Alex
W_MEAD_08W_4R0_NA,240.541957,W,MEAD,08W,4R0,NA,Alex
W_LATC_3W_16_220,2205.53166,W,LATC,3W,16,220,LATJ
W_LATD_2W_4_212,2570.79005,W,LATD,2W,4,212,LATJ
W_WILL_1W_403_67,5467.39271,W,WILL,1W,403,67,Alex
W_SVAL_16W_16_277,5327.34572,W,SVAL,16W,16,277,SVAL
W_DRY_1W_3_39,360.70619,W,DRY,1W,3,39,Alex
W_DRY_3W_15_69,4230.75399,W,DRY,3W,15,69,Alex
W_CASS_9W_539_128,4770.770343,W,CASS,9W,539,128,Alex
W_ALAS_0W_18_248,4389.669727,W,ALAS,0W,18,248,ALAS
W_SVAL_0W_00_267,5132.98179,W,SVAL,0W,00,267,SVAL
W_FERT_22W_12F_111,23.809524,W,FERT,22W,12F,111,Alex
W_CASS_17W_574_137,33.33333,W,CASS,17W,574,137,Alex
W_CASS_10W_544_60,2174.4659,W,CASS,10W,544,60,Alex
W_ALAS_0W_15_242,5073.87674,W,ALAS,0W,15,242,ALAS
W_ALAS_0W_16_239,145.555555,W,ALAS,0W,16,239,ALAS
W_FERT_30W_14F_40,0,W,FERT,30W,14F,40,Alex
W_LATD_4W_9_207,6.25,W,LATD,4W,9,207,LATJ
W_MEAD_7W_470_173,413.172243,W,MEAD,7W,470,173,Alex
W_ALAS_0W_17_235,5491.74186,W,ALAS,0W,17,235,ALAS
W_SVAL_0W_NA_270,40,W,SVAL,0W,NA,270,SVAL
W_CASS_7W_600_19,65.942479,W,CASS,7W,600,19,Alex
W_SVAL_8W_8_272,557.58241,W,SVAL,8W,8,272,SVAL
W_ALAS_00W_00_232,669.576641,W,ALAS,00W,00,232,ALAS
W_DRY_8W_45_155,4338.32606,W,DRY,8W,45,155,Alex
W_FERT_6W_3F_110,111.689146,W,FERT,6W,3F,110,Alex
W_LATC_5W_18_190,1846.4988,W,LATC,5W,18,190,LATJ
W_CASS_5W_525_130,794.77974,W,CASS,5W,525,130,Alex
W_ALAS_0W_3_236,5455.11966,W,ALAS,0W,3,236,ALAS
W_WILL_10W_437_84,3101.32489,W,WILL,10W,437,84,Alex
C_WILL_5C_422_31,1710.76623,C,WILL,5C,422,31,Alex
C_CASS_10C_548_144,515.908349,C,CASS,10C,548,144,Alex
C_CASS_4C_524_4,5244.71824,C,CASS,4C,524,4,Alex
C_FERT_39C_20F_71,2646.75742,C,FERT,39C,20F,71,Alex
C_FERT_5C_1F_97,3015.256129,C,FERT,5C,1F,97,Alex
C_ALAS_00C_00_227,4670.10073,C,ALAS,00C,00,227,ALAS
C_SVAL_16C_16_276,4956.44041,C,SVAL,16C,16,276,SVAL
