ID,TotalMeth,Treat,SubSite,Plot,Plant,NA,NA,NA,NA,NA,NA,NA,Site
W_CASS_04W_519_NA,0,W,CASS,04W,519,NA,Alex,W,CASS,04W,519,NA,Alex
W_WILL_7W_448_107,NA,W,WILL,7W,448,107,Alex,W,WILL,7W,448,107,Alex
W_FERT_14W_6F_126,1143.73408,W,FERT,14W,6F,126,Alex,W,FERT,14W,6F,126,Alex
W_LATJ_04W_NA_188,1335.03303,W,LATJ,04W,NA,188,LATJ,W,LATJ,04W,NA,188,LATJ
W_LATC_1W_12_219,1471.1548,W,LATC,1W,12,219,LATJ,W,LATC,1W,12,219,LATJ
W_ALAS_0W_14_249,2129.18361,W,ALAS,0W,14,249,ALAS,W,ALAS,0W,14,249,ALAS
W_LATC_9W_11_216,1660.25252,W,LATC,9W,11,216,LATJ,W,LATC,9W,11,216,LATJ
W_DRY_6W_31_147,980.16449,W,DRY,6W,31,147,Alex,W,DRY,6W,31,147,Alex
W_SVAL_6W_6_274,1924.76346,W,SVAL,6W,6,274,SVAL,W,SVAL,6W,6,274,SVAL
W_SVAL_18W_18_271,1529.18321,W,SVAL,18W,18,271,SVAL,W,SVAL,18W,18,271,SVAL
W_LATD_4W_8_211,495.00416,W,LATD,4W,8,211,LATJ,W,LATD,4W,8,211,LATJ
W_MEAD_2W_450_70,1327.21926,W,MEAD,2W,450,70,Alex,W,MEAD,2W,450,70,Alex
W_ALAS_00W_00_228,2151.79587,W,ALAS,00W,00,228,ALAS,W,ALAS,00W,00,228,ALAS
W_DRY_9W_50_185,1021.68001,W,DRY,9W,50,185,Alex,W,DRY,9W,50,185,Alex
W_LATD_2W_5_206,979.88869,W,LATD,2W,5,206,LATJ,W,LATD,2W,5,206,LATJ
W_ALAS_0W_8_265,1399.86803,W,ALAS,0W,8,265,ALAS,W,ALAS,0W,8,265,ALAS
W_WILL_5W_421_154,1851.70635,W,WILL,5W,421,154,Alex,W,WILL,5W,421,154,Alex
W_LATJ_02W_00_193,1696.96008,W,LATJ,02W,00,193,LATJ,W,LATJ,02W,00,193,LATJ
W_ALAS_0W_7_263,263.809522,W,ALAS,0W,7,263,ALAS,W,ALAS,0W,7,263,ALAS
W_MEAD_6W_466_163,1839.60297,W,MEAD,6W,466,163,Alex,W,MEAD,6W,466,163,Alex
W_WILL_4W_417_13,1584.5621,W,WILL,4W,417,13,Alex,W,WILL,4W,417,13,Alex
W_MEAD_1W_444_116,907.1631,W,MEAD,1W,444,116,Alex,W,MEAD,1W,444,116,Alex
W_MEAD_08W_4R0_NA,1022.42864,W,MEAD,08W,4R0,NA,Alex,W,MEAD,08W,4R0,NA,Alex
W_LATC_3W_16_220,1256.29466,W,LATC,3W,16,220,LATJ,W,LATC,3W,16,220,LATJ
W_LATD_2W_4_212,1510.00256,W,LATD,2W,4,212,LATJ,W,LATD,2W,4,212,LATJ
W_WILL_1W_403_67,530.874394,W,WILL,1W,403,67,Alex,W,WILL,1W,403,67,Alex
W_SVAL_16W_16_277,1930.63493,W,SVAL,16W,16,277,SVAL,W,SVAL,16W,16,277,SVAL
W_DRY_1W_3_39,1062.39575,W,DRY,1W,3,39,Alex,W,DRY,1W,3,39,Alex
W_DRY_3W_15_69,1433.75917,W,DRY,3W,15,69,Alex,W,DRY,3W,15,69,Alex
W_CASS_9W_539_128,764.11288,W,CASS,9W,539,128,Alex,W,CASS,9W,539,128,Alex
W_ALAS_0W_18_248,1356.92593,W,ALAS,0W,18,248,ALAS,W,ALAS,0W,18,248,ALAS
W_SVAL_0W_00_267,1607.62004,W,SVAL,0W,00,267,SVAL,W,SVAL,0W,00,267,SVAL
W_FERT_22W_12F_111,1417.34127,W,FERT,22W,12F,111,Alex,W,FERT,22W,12F,111,Alex
W_CASS_17W_574_137,2027.68835,W,CASS,17W,574,137,Alex,W,CASS,17W,574,137,Alex
W_CASS_10W_544_60,1830.33589,W,CASS,10W,544,60,Alex,W,CASS,10W,544,60,Alex
W_ALAS_0W_15_242,1495.62515,W,ALAS,0W,15,242,ALAS,W,ALAS,0W,15,242,ALAS
W_ALAS_0W_16_239,251.928118,W,ALAS,0W,16,239,ALAS,W,ALAS,0W,16,239,ALAS
W_FERT_30W_14F_40,1904.89172,W,FERT,30W,14F,40,Alex,W,FERT,30W,14F,40,Alex
W_LATD_4W_9_207,1716.38513,W,LATD,4W,9,207,LATJ,W,LATD,4W,9,207,LATJ
W_MEAD_7W_470_173,976.94179,W,MEAD,7W,470,173,Alex,W,MEAD,7W,470,173,Alex
W_ALAS_0W_17_235,2147.14204,W,ALAS,0W,17,235,ALAS,W,ALAS,0W,17,235,ALAS
W_SVAL_0W_NA_270,1655.45371,W,SVAL,0W,NA,270,SVAL,W,SVAL,0W,NA,270,SVAL
W_CASS_7W_600_19,1409.19851,W,CASS,7W,600,19,Alex,W,CASS,7W,600,19,Alex
W_SVAL_8W_8_272,1384.13919,W,SVAL,8W,8,272,SVAL,W,SVAL,8W,8,272,SVAL
W_ALAS_00W_00_232,1533.12726,W,ALAS,00W,00,232,ALAS,W,ALAS,00W,00,232,ALAS
W_DRY_8W_45_155,1930.44859,W,DRY,8W,45,155,Alex,W,DRY,8W,45,155,Alex
W_FERT_6W_3F_110,1875.90141,W,FERT,6W,3F,110,Alex,W,FERT,6W,3F,110,Alex
W_LATC_5W_18_190,1323.87752,W,LATC,5W,18,190,LATJ,W,LATC,5W,18,190,LATJ
